"Notes","State","State Code","Year","Year Code",Births
,"Florida","12","2020","2020",209671
,"Florida","12","2021","2021",216260
,"Florida","12","2022","2022",224433
,"Florida","12","2023","2023",221410
,"Florida","12","2024","2024",224389
"Total","Florida","12",,,3979182
,"Georgia","13","2007","2007",151137
,"Georgia","13","2008","2008",146603
,"Georgia","13","2009","2009",141377
,"Georgia","13","2010","2010",133947
,"Georgia","13","2011","2011",132409
,"Georgia","13","2012","2012",130280
,"Georgia","13","2013","2013",128748
,"Georgia","13","2014","2014",130946
,"Georgia","13","2015","2015",131404
,"Georgia","13","2016","2016",130042
,"Georgia","13","2017","2017",129243
,"Georgia","13","2018","2018",126172
,"Georgia","13","2019","2019",126371
,"Georgia","13","2020","2020",122473
,"Georgia","13","2021","2021",124073
,"Georgia","13","2022","2022",126130
,"Georgia","13","2023","2023",125120
,"Georgia","13","2024","2024",126437
"Total","Georgia","13",,,2362912
,"Hawaii","15","2007","2007",19134
,"Hawaii","15","2008","2008",19484
,"Hawaii","15","2009","2009",18887
,"Hawaii","15","2010","2010",18988
,"Hawaii","15","2011","2011",18956
,"Hawaii","15","2012","2012",18980
,"Hawaii","15","2013","2013",18987
,"Hawaii","15","2014","2014",18550
,"Hawaii","15","2015","2015",18420
,"Hawaii","15","2016","2016",18059
,"Hawaii","15","2017","2017",17517
,"Hawaii","15","2018","2018",16972
,"Hawaii","15","2019","2019",16797
,"Hawaii","15","2020","2020",15785
,"Hawaii","15","2021","2021",15620
,"Hawaii","15","2022","2022",15535
,"Hawaii","15","2023","2023",14808
,"Hawaii","15","2024","2024",14917
"Total","Hawaii","15",,,316396
,"Idaho","16","2007","2007",25019
,"Idaho","16","2008","2008",25149
,"Idaho","16","2009","2009",23737
,"Idaho","16","2010","2010",23198
,"Idaho","16","2011","2011",22305
,"Idaho","16","2012","2012",22963
,"Idaho","16","2013","2013",22383
,"Idaho","16","2014","2014",22876
,"Idaho","16","2015","2015",22827
,"Idaho","16","2016","2016",22482
,"Idaho","16","2017","2017",22181
,"Idaho","16","2018","2018",21403
,"Idaho","16","2019","2019",22063
,"Idaho","16","2020","2020",21533
,"Idaho","16","2021","2021",22427
,"Idaho","16","2022","2022",22391
,"Idaho","16","2023","2023",22397
,"Idaho","16","2024","2024",23276
"Total","Idaho","16",,,410610
,"Illinois","17","2007","2007",180836
,"Illinois","17","2008","2008",176795
,"Illinois","17","2009","2009",171163
,"Illinois","17","2010","2010",165200
,"Illinois","17","2011","2011",161312
,"Illinois","17","2012","2012",159160
,"Illinois","17","2013","2013",156931
,"Illinois","17","2014","2014",158556
,"Illinois","17","2015","2015",158116
,"Illinois","17","2016","2016",154445
,"Illinois","17","2017","2017",149390
,"Illinois","17","2018","2018",144815
,"Illinois","17","2019","2019",140128
,"Illinois","17","2020","2020",133298
,"Illinois","17","2021","2021",132189
,"Illinois","17","2022","2022",128350
,"Illinois","17","2023","2023",124820
,"Illinois","17","2024","2024",125731
"Total","Illinois","17",,,2721235
,"Indiana","18","2007","2007",89864
,"Indiana","18","2008","2008",88742
,"Indiana","18","2009","2009",86673
,"Indiana","18","2010","2010",83940
,"Indiana","18","2011","2011",83701
,"Indiana","18","2012","2012",83227
,"Indiana","18","2013","2013",83102
,"Indiana","18","2014","2014",84080
,"Indiana","18","2015","2015",84040
,"Indiana","18","2016","2016",83091
,"Indiana","18","2017","2017",82170
,"Indiana","18","2018","2018",81646
,"Indiana","18","2019","2019",80859
,"Indiana","18","2020","2020",78616
,"Indiana","18","2021","2021",79946
,"Indiana","18","2022","2022",79649
,"Indiana","18","2023","2023",79000
,"Indiana","18","2024","2024",80257
"Total","Indiana","18",,,1492603
,"Iowa","19","2007","2007",40886
,"Iowa","19","2008","2008",40224
,"Iowa","19","2009","2009",39701
,"Iowa","19","2010","2010",38719
,"Iowa","19","2011","2011",38214
,"Iowa","19","2012","2012",38702
,"Iowa","19","2013","2013",39094
,"Iowa","19","2014","2014",39687
,"Iowa","19","2015","2015",39482
,"Iowa","19","2016","2016",39403
,"Iowa","19","2017","2017",38430
,"Iowa","19","2018","2018",37785
,"Iowa","19","2019","2019",37649
,"Iowa","19","2020","2020",36114
,"Iowa","19","2021","2021",36835
,"Iowa","19","2022","2022",36506
,"Iowa","19","2023","2023",36052
,"Iowa","19","2024","2024",36436
"Total","Iowa","19",,,689919
,"Kansas","20","2007","2007",42004
,"Kansas","20","2008","2008",41833
,"Kansas","20","2009","2009",41396
,"Kansas","20","2010","2010",40649
,"Kansas","20","2011","2011",39642
,"Kansas","20","2012","2012",40341
,"Kansas","20","2013","2013",38839
,"Kansas","20","2014","2014",39223
,"Kansas","20","2015","2015",39154
,"Kansas","20","2016","2016",38053
,"Kansas","20","2017","2017",36519
,"Kansas","20","2018","2018",36261
,"Kansas","20","2019","2019",35395
,"Kansas","20","2020","2020",34376
,"Kansas","20","2021","2021",34705
,"Kansas","20","2022","2022",34401
,"Kansas","20","2023","2023",34065
,"Kansas","20","2024","2024",33984
"Total","Kansas","20",,,680840
,"Kentucky","21","2007","2007",59368
,"Kentucky","21","2008","2008",58375
,"Kentucky","21","2009","2009",57551
,"Kentucky","21","2010","2010",55784
,"Kentucky","21","2011","2011",55370
,"Kentucky","21","2012","2012",55758
,"Kentucky","21","2013","2013",55686
,"Kentucky","21","2014","2014",56170
,"Kentucky","21","2015","2015",55971
,"Kentucky","21","2016","2016",55449
,"Kentucky","21","2017","2017",54752
,"Kentucky","21","2018","2018",53922
,"Kentucky","21","2019","2019",53069
,"Kentucky","21","2020","2020",51668
,"Kentucky","21","2021","2021",52214
,"Kentucky","21","2022","2022",52315
,"Kentucky","21","2023","2023",51984
,"Kentucky","21","2024","2024",52913
"Total","Kentucky","21",,,988319
,"Louisiana","22","2007","2007",66301
,"Louisiana","22","2008","2008",65268
,"Louisiana","22","2009","2009",64973
,"Louisiana","22","2010","2010",62379
,"Louisiana","22","2011","2011",61888
,"Louisiana","22","2012","2012",62642
,"Louisiana","22","2013","2013",63201
,"Louisiana","22","2014","2014",64497
,"Louisiana","22","2015","2015",64692
,"Louisiana","22","2016","2016",63178
,"Louisiana","22","2017","2017",61018
,"Louisiana","22","2018","2018",59615
,"Louisiana","22","2019","2019",58941
,"Louisiana","22","2020","2020",57328
,"Louisiana","22","2021","2021",57437
,"Louisiana","22","2022","2022",56479
,"Louisiana","22","2023","2023",54927
,"Louisiana","22","2024","2024",53305
"Total","Louisiana","22",,,1098069
,"Maine","23","2007","2007",14120
,"Maine","23","2008","2008",13609
,"Maine","23","2009","2009",13470
,"Maine","23","2010","2010",12970
,"Maine","23","2011","2011",12704
,"Maine","23","2012","2012",12798
,"Maine","23","2013","2013",12776
,"Maine","23","2014","2014",12698
,"Maine","23","2015","2015",12607
,"Maine","23","2016","2016",12705
,"Maine","23","2017","2017",12298
,"Maine","23","2018","2018",12311
,"Maine","23","2019","2019",11779
,"Maine","23","2020","2020",11539
,"Maine","23","2021","2021",12006
,"Maine","23","2022","2022",12093
,"Maine","23","2023","2023",11627
,"Maine","23","2024","2024",11601
"Total","Maine","23",,,225711
,"Maryland","24","2007","2007",78095
,"Maryland","24","2008","2008",77289
,"Maryland","24","2009","2009",75059
,"Maryland","24","2010","2010",73801
,"Maryland","24","2011","2011",73093
,"Maryland","24","2012","2012",72883
,"Maryland","24","2013","2013",71953
,"Maryland","24","2014","2014",73921
,"Maryland","24","2015","2015",73616
,"Maryland","24","2016","2016",73136
,"Maryland","24","2017","2017",71641
,"Maryland","24","2018","2018",71080
,"Maryland","24","2019","2019",70178
,"Maryland","24","2020","2020",68554
,"Maryland","24","2021","2021",68285
,"Maryland","24","2022","2022",68782
,"Maryland","24","2023","2023",65594
,"Maryland","24","2024","2024",65797
"Total","Maryland","24",,,1292757
,"Massachusetts","25","2007","2007",77967
,"Massachusetts","25","2008","2008",77022
,"Massachusetts","25","2009","2009",75016
,"Massachusetts","25","2010","2010",72865
,"Massachusetts","25","2011","2011",73166
,"Massachusetts","25","2012","2012",72439
,"Massachusetts","25","2013","2013",71788
,"Massachusetts","25","2014","2014",71908
,"Massachusetts","25","2015","2015",71492
,"Massachusetts","25","2016","2016",71317
,"Massachusetts","25","2017","2017",70702
,"Massachusetts","25","2018","2018",69109
,"Massachusetts","25","2019","2019",69117
,"Massachusetts","25","2020","2020",66428
,"Massachusetts","25","2021","2021",69137
,"Massachusetts","25","2022","2022",68584
,"Massachusetts","25","2023","2023",67093
,"Massachusetts","25","2024","2024",68184
"Total","Massachusetts","25",,,1283334
,"Michigan","26","2007","2007",125261
,"Michigan","26","2008","2008",121127
,"Michigan","26","2009","2009",117294
,"Michigan","26","2010","2010",114531
,"Michigan","26","2011","2011",114008
,"Michigan","26","2012","2012",113091
,"Michigan","26","2013","2013",113489
,"Michigan","26","2014","2014",114375
,"Michigan","26","2015","2015",113312
,"Michigan","26","2016","2016",113315
,"Michigan","26","2017","2017",111426
,"Michigan","26","2018","2018",110032
,"Michigan","26","2019","2019",107886
,"Michigan","26","2020","2020",104074
,"Michigan","26","2021","2021",104980
,"Michigan","26","2022","2022",102321
,"Michigan","26","2023","2023",99124
,"Michigan","26","2024","2024",99525
"Total","Michigan","26",,,1999171
,"Minnesota","27","2007","2007",73735
,"Minnesota","27","2008","2008",72421
,"Minnesota","27","2009","2009",70646
,"Minnesota","27","2010","2010",68610
,"Minnesota","27","2011","2011",68409
,"Minnesota","27","2012","2012",68772
,"Minnesota","27","2013","2013",69159
,"Minnesota","27","2014","2014",69904
,"Minnesota","27","2015","2015",69834
,"Minnesota","27","2016","2016",69749
,"Minnesota","27","2017","2017",68595
,"Minnesota","27","2018","2018",67344
,"Minnesota","27","2019","2019",66027
,"Minnesota","27","2020","2020",63443
,"Minnesota","27","2021","2021",64425
,"Minnesota","27","2022","2022",64015
,"Minnesota","27","2023","2023",61715
,"Minnesota","27","2024","2024",62110
"Total","Minnesota","27",,,1218913
,"Mississippi","28","2007","2007",46491
,"Mississippi","28","2008","2008",44947
,"Mississippi","28","2009","2009",42901
,"Mississippi","28","2010","2010",40036
,"Mississippi","28","2011","2011",39860
,"Mississippi","28","2012","2012",38669
,"Mississippi","28","2013","2013",38634
,"Mississippi","28","2014","2014",38736
,"Mississippi","28","2015","2015",38394
,"Mississippi","28","2016","2016",37928
,"Mississippi","28","2017","2017",37357
,"Mississippi","28","2018","2018",37000
,"Mississippi","28","2019","2019",36636
,"Mississippi","28","2020","2020",35473
,"Mississippi","28","2021","2021",35156
,"Mississippi","28","2022","2022",34675
,"Mississippi","28","2023","2023",34459
,"Mississippi","28","2024","2024",33473
"Total","Mississippi","28",,,690825
,"Missouri","29","2007","2007",81930
,"Missouri","29","2008","2008",80963
,"Missouri","29","2009","2009",78905
,"Missouri","29","2010","2010",76759
,"Missouri","29","2011","2011",76117
,"Missouri","29","2012","2012",75446
,"Missouri","29","2013","2013",75296
,"Missouri","29","2014","2014",75360
,"Missouri","29","2015","2015",75061
,"Missouri","29","2016","2016",74705
,"Missouri","29","2017","2017",73034
,"Missouri","29","2018","2018",73269
,"Missouri","29","2019","2019",72127
,"Missouri","29","2020","2020",69285
,"Missouri","29","2021","2021",69453
,"Missouri","29","2022","2022",68985
,"Missouri","29","2023","2023",67123
,"Missouri","29","2024","2024",67998
"Total","Missouri","29",,,1331816
,"Montana","30","2007","2007",12439
,"Montana","30","2008","2008",12594
,"Montana","30","2009","2009",12257
,"Montana","30","2010","2010",12060
,"Montana","30","2011","2011",12069
,"Montana","30","2012","2012",12118
,"Montana","30","2013","2013",12377
,"Montana","30","2014","2014",12432
,"Montana","30","2015","2015",12583
,"Montana","30","2016","2016",12282
,"Montana","30","2017","2017",11799
,"Montana","30","2018","2018",11513
,"Montana","30","2019","2019",11079
,"Montana","30","2020","2020",10791
,"Montana","30","2021","2021",11231
,"Montana","30","2022","2022",11175
,"Montana","30","2023","2023",11078
,"Montana","30","2024","2024",11331
"Total","Montana","30",,,213208
,"Nebraska","31","2007","2007",26934
,"Nebraska","31","2008","2008",26989
,"Nebraska","31","2009","2009",26936
,"Nebraska","31","2010","2010",25918
,"Nebraska","31","2011","2011",25720
,"Nebraska","31","2012","2012",25942
,"Nebraska","31","2013","2013",26095
,"Nebraska","31","2014","2014",26794
,"Nebraska","31","2015","2015",26679
,"Nebraska","31","2016","2016",26589
,"Nebraska","31","2017","2017",25821
,"Nebraska","31","2018","2018",25488
,"Nebraska","31","2019","2019",24755
,"Nebraska","31","2020","2020",24291
,"Nebraska","31","2021","2021",24609
,"Nebraska","31","2022","2022",24345
,"Nebraska","31","2023","2023",24111
,"Nebraska","31","2024","2024",24785
"Total","Nebraska","31",,,462801
,"Nevada","32","2007","2007",41181
,"Nevada","32","2008","2008",39506
,"Nevada","32","2009","2009",37612
,"Nevada","32","2010","2010",35934
,"Nevada","32","2011","2011",35296
,"Nevada","32","2012","2012",34911
,"Nevada","32","2013","2013",35030
,"Nevada","32","2014","2014",35861
,"Nevada","32","2015","2015",36298
,"Nevada","32","2016","2016",36260
,"Nevada","32","2017","2017",35756
,"Nevada","32","2018","2018",35682
,"Nevada","32","2019","2019",35072
,"Nevada","32","2020","2020",33653
,"Nevada","32","2021","2021",33686
,"Nevada","32","2022","2022",33193
,"Nevada","32","2023","2023",31794
,"Nevada","32","2024","2024",32381
"Total","Nevada","32",,,639106
,"New Hampshire","33","2007","2007",14168
,"New Hampshire","33","2008","2008",13683
,"New Hampshire","33","2009","2009",13377
,"New Hampshire","33","2010","2010",12874
,"New Hampshire","33","2011","2011",12851
,"New Hampshire","33","2012","2012",12352
,"New Hampshire","33","2013","2013",12396
,"New Hampshire","33","2014","2014",12302
,"New Hampshire","33","2015","2015",12433
,"New Hampshire","33","2016","2016",12267
,"New Hampshire","33","2017","2017",12116
,"New Hampshire","33","2018","2018",11995
,"New Hampshire","33","2019","2019",11839
,"New Hampshire","33","2020","2020",11791
,"New Hampshire","33","2021","2021",12625
,"New Hampshire","33","2022","2022",12077
,"New Hampshire","33","2023","2023",11936
,"New Hampshire","33","2024","2024",11770
"Total","New Hampshire","33",,,224852
,"New Jersey","34","2007","2007",116063
,"New Jersey","34","2008","2008",112710
,"New Jersey","34","2009","2009",110331
,"New Jersey","34","2010","2010",106922
,"New Jersey","34","2011","2011",105883
,"New Jersey","34","2012","2012",104230
,"New Jersey","34","2013","2013",102575
,"New Jersey","34","2014","2014",103305
,"New Jersey","34","2015","2015",103127
,"New Jersey","34","2016","2016",102647
,"New Jersey","34","2017","2017",101250
,"New Jersey","34","2018","2018",101223
,"New Jersey","34","2019","2019",99585
,"New Jersey","34","2020","2020",97954
,"New Jersey","34","2021","2021",101497
,"New Jersey","34","2022","2022",102893
,"New Jersey","34","2023","2023",101001
,"New Jersey","34","2024","2024",101372
"Total","New Jersey","34",,,1874568
,"New Mexico","35","2007","2007",30616
,"New Mexico","35","2008","2008",30173
,"New Mexico","35","2009","2009",29000
,"New Mexico","35","2010","2010",27850
,"New Mexico","35","2011","2011",27289
,"New Mexico","35","2012","2012",27068
,"New Mexico","35","2013","2013",26354
,"New Mexico","35","2014","2014",26052
,"New Mexico","35","2015","2015",25816
,"New Mexico","35","2016","2016",24692
,"New Mexico","35","2017","2017",23767
,"New Mexico","35","2018","2018",23039
,"New Mexico","35","2019","2019",22960
,"New Mexico","35","2020","2020",21903
,"New Mexico","35","2021","2021",21391
,"New Mexico","35","2022","2022",21614
,"New Mexico","35","2023","2023",20951
,"New Mexico","35","2024","2024",21328
"Total","New Mexico","35",,,451863
,"New York","36","2007","2007",253451
,"New York","36","2008","2008",250383
,"New York","36","2009","2009",248110
,"New York","36","2010","2010",244375
,"New York","36","2011","2011",241312
,"New York","36","2012","2012",240916
,"New York","36","2013","2013",236980
,"New York","36","2014","2014",238773
,"New York","36","2015","2015",237274
,"New York","36","2016","2016",234283
,"New York","36","2017","2017",229737
,"New York","36","2018","2018",226238
,"New York","36","2019","2019",221539
,"New York","36","2020","2020",209338
,"New York","36","2021","2021",210742
,"New York","36","2022","2022",207774
,"New York","36","2023","2023",203612
,"New York","36","2024","2024",205489
"Total","New York","36",,,4140326
,"North Carolina","37","2007","2007",131037
,"North Carolina","37","2008","2008",130839
,"North Carolina","37","2009","2009",126845
,"North Carolina","37","2010","2010",122350
,"North Carolina","37","2011","2011",120389
,"North Carolina","37","2012","2012",119831
,"North Carolina","37","2013","2013",119002
,"North Carolina","37","2014","2014",120975
,"North Carolina","37","2015","2015",120843
,"North Carolina","37","2016","2016",120779
,"North Carolina","37","2017","2017",120125
,"North Carolina","37","2018","2018",118954
,"North Carolina","37","2019","2019",118725
,"North Carolina","37","2020","2020",116730
,"North Carolina","37","2021","2021",120466
,"North Carolina","37","2022","2022",121562
,"North Carolina","37","2023","2023",120082
,"North Carolina","37","2024","2024",122856
"Total","North Carolina","37",,,2192390
,"North Dakota","38","2007","2007",8840
,"North Dakota","38","2008","2008",8938
,"North Dakota","38","2009","2009",9001
,"North Dakota","38","2010","2010",9104
,"North Dakota","38","2011","2011",9527
,"North Dakota","38","2012","2012",10106
,"North Dakota","38","2013","2013",10599
,"North Dakota","38","2014","2014",11359
,"North Dakota","38","2015","2015",11314
,"North Dakota","38","2016","2016",11383
,"North Dakota","38","2017","2017",10737
,"North Dakota","38","2018","2018",10636
,"North Dakota","38","2019","2019",10454
,"North Dakota","38","2020","2020",10059
,"North Dakota","38","2021","2021",10112
,"North Dakota","38","2022","2022",9567
,"North Dakota","38","2023","2023",9647
,"North Dakota","38","2024","2024",9634
"Total","North Dakota","38",,,181017
,"Ohio","39","2007","2007",150879
,"Ohio","39","2008","2008",148821
,"Ohio","39","2009","2009",144841
,"Ohio","39","2010","2010",139128
,"Ohio","39","2011","2011",137918
,"Ohio","39","2012","2012",138483
,"Ohio","39","2013","2013",138936
,"Ohio","39","2014","2014",139467
,"Ohio","39","2015","2015",139264
,"Ohio","39","2016","2016",138085
,"Ohio","39","2017","2017",136832
,"Ohio","39","2018","2018",135134
,"Ohio","39","2019","2019",134461
,"Ohio","39","2020","2020",129191
,"Ohio","39","2021","2021",129791
,"Ohio","39","2022","2022",128231
,"Ohio","39","2023","2023",126896
,"Ohio","39","2024","2024",126795
"Total","Ohio","39",,,2463153
,"Oklahoma","40","2007","2007",55065
,"Oklahoma","40","2008","2008",54781
,"Oklahoma","40","2009","2009",54553
,"Oklahoma","40","2010","2010",53238
,"Oklahoma","40","2011","2011",52272
,"Oklahoma","40","2012","2012",52751
,"Oklahoma","40","2013","2013",53369
,"Oklahoma","40","2014","2014",53339
,"Oklahoma","40","2015","2015",53122
,"Oklahoma","40","2016","2016",52592
,"Oklahoma","40","2017","2017",50214
,"Oklahoma","40","2018","2018",49800
,"Oklahoma","40","2019","2019",49143
,"Oklahoma","40","2020","2020",47623
,"Oklahoma","40","2021","2021",48410
,"Oklahoma","40","2022","2022",48332
,"Oklahoma","40","2023","2023",47909
,"Oklahoma","40","2024","2024",47962
"Total","Oklahoma","40",,,924475
,"Oregon","41","2007","2007",49378
,"Oregon","41","2008","2008",49096
,"Oregon","41","2009","2009",47132
,"Oregon","41","2010","2010",45540
,"Oregon","41","2011","2011",45155
,"Oregon","41","2012","2012",45067
,"Oregon","41","2013","2013",45155
,"Oregon","41","2014","2014",45556
,"Oregon","41","2015","2015",45655
,"Oregon","41","2016","2016",45535
,"Oregon","41","2017","2017",43631
,"Oregon","41","2018","2018",42188
,"Oregon","41","2019","2019",41858
,"Oregon","41","2020","2020",39820
,"Oregon","41","2021","2021",40914
,"Oregon","41","2022","2022",39493
,"Oregon","41","2023","2023",38298
,"Oregon","41","2024","2024",38963
"Total","Oregon","41",,,788434
,"Pennsylvania","42","2007","2007",150713
,"Pennsylvania","42","2008","2008",149273
,"Pennsylvania","42","2009","2009",146434
,"Pennsylvania","42","2010","2010",143321
,"Pennsylvania","42","2011","2011",143178
,"Pennsylvania","42","2012","2012",142514
,"Pennsylvania","42","2013","2013",140921
,"Pennsylvania","42","2014","2014",142268
,"Pennsylvania","42","2015","2015",141047
,"Pennsylvania","42","2016","2016",139409
,"Pennsylvania","42","2017","2017",137745
,"Pennsylvania","42","2018","2018",135673
,"Pennsylvania","42","2019","2019",134230
,"Pennsylvania","42","2020","2020",130693
,"Pennsylvania","42","2021","2021",132622
,"Pennsylvania","42","2022","2022",130252
,"Pennsylvania","42","2023","2023",126951
,"Pennsylvania","42","2024","2024",127299
"Total","Pennsylvania","42",,,2494543
,"Rhode Island","44","2007","2007",12376
,"Rhode Island","44","2008","2008",12048
,"Rhode Island","44","2009","2009",11442
,"Rhode Island","44","2010","2010",11177
,"Rhode Island","44","2011","2011",10960
,"Rhode Island","44","2012","2012",10926
,"Rhode Island","44","2013","2013",10809
,"Rhode Island","44","2014","2014",10823
,"Rhode Island","44","2015","2015",10993
,"Rhode Island","44","2016","2016",10798
,"Rhode Island","44","2017","2017",10638
,"Rhode Island","44","2018","2018",10506
,"Rhode Island","44","2019","2019",10175
,"Rhode Island","44","2020","2020",10101
,"Rhode Island","44","2021","2021",10464
,"Rhode Island","44","2022","2022",10269
,"Rhode Island","44","2023","2023",9805
,"Rhode Island","44","2024","2024",10009
"Total","Rhode Island","44",,,194319
